"filename", "language", "XML", "JSON", "C#", "Properties", "comment", "blank", "total"
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\Entities\Roles\RegisteredUser.cs", "C#", 0, 0, 9, 0, 3, 2, 14
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\Entities\Roles\User.cs", "C#", 0, 0, 20, 0, 3, 2, 25
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\Interfaces\IRepository.cs", "C#", 0, 0, 16, 0, 34, 2, 52
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\Interfaces\IWork.cs", "C#", 0, 0, 14, 0, 0, 2, 16
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\Repositories\DBWork.cs", "C#", 0, 0, 41, 0, 18, 4, 63
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\Repositories\ProductRepository.cs", "C#", 0, 0, 36, 0, 38, 9, 83
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\Repositories\UserRepository.cs", "C#", 0, 0, 38, 0, 31, 9, 78
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\bin\Debug\netcoreapp3.1\DAL.deps.json", "JSON", 0, 23, 0, 0, 0, 0, 23
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\bin\Debug\netcoreapp3.1\DAL.xml", "XML", 241, 0, 0, 0, 0, 1, 242
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\obj\DAL.csproj.nuget.dgspec.json", "JSON", 0, 63, 0, 0, 0, 0, 63
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\obj\DAL.csproj.nuget.g.props", "XML", 15, 0, 0, 0, 0, 0, 15
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\obj\DAL.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 2
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 1, 1, 5
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\obj\Debug\netcoreapp3.1\DAL.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 10, 5, 24
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\obj\Debug\netcoreapp3.1\DAL.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 1, 1, 5
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\obj\Release\netcoreapp3.1\DAL.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 10, 5, 24
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\DAL\obj\project.assets.json", "JSON", 0, 68, 0, 0, 0, 0, 68
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\obj\ConsoleEShop.csproj.nuget.dgspec.json", "JSON", 0, 63, 0, 0, 0, 0, 63
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\obj\ConsoleEShop.csproj.nuget.g.props", "XML", 15, 0, 0, 0, 0, 0, 15
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\obj\ConsoleEShop.csproj.nuget.g.targets", "XML", 6, 0, 0, 0, 0, 0, 6
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\obj\project.assets.json", "JSON", 0, 69, 0, 0, 0, 0, 69
"Total", "-", 1445, 6362, 2107, 12, 481, 243, 10650
